Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-09-28,11:20:00,Soyuz 2.1b/Fregat,Goniets-M nВ°27L to 29L & Others,Active,25,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2020-10-03,01:16:00,Antares 230+,CRS NG-14,Active,85,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-10-06,11:29:00,Falcon 9 Block 5,Starlink V1 L12,Active,67,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-10-11,16:57:00,Long March 3B/E,Gaofen-13,Active,29.15,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA",2020-10-13,13:38:00,New Shepard,NS-13,Active,0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2020-10-14,05:45:00,Soyuz 2.1a,Soyuz MS-17,Active,17.42,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-10-18,12:25:00,Falcon 9 Block 5,Starlink V1 L13,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-10-24,15:31:00,Falcon 9 Block 5,Starlink V1 L14,Active,67,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2020-10-25,19:08:00,Soyuz 2.1b/Fregat-M,Cosmos 2547,Active,25,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-10-26,15:19:00,Long March 2C,Yaogan-30 07 & Apocalypse-6,Active,30.8,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2020-10-28,21:21:00,Electron/Curie,In Focus,Active,7.5,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-11-05,23:24:00,Falcon 9 Block 5,GPS III-4,Active,67,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China",2020-11-06,03:19:00,Long March 6,Г‘uSat 9 to 18 & Others,Active,19,Success
Galactic Energy,"Site 95, Jiuquan Satellite Launch Center, China",2020-11-07,07:12:00,Ceres-1,I Believe I Can Fly,Active,4.9,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2020-11-07,09:41:00,PSLV-DL,EOS-01 & Rideshares,Active,0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2020-11-12,15:59:00,Long March 3B/E,Tiantong-1 02,Active,29.15,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2020-11-13,22:32:00,Atlas V 531,NROL-101,Active,140,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-11-16,00:27:00,Falcon 9 Block 5,SpaceX Crew-1,Active,67,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2020-11-17,01:52:00,Vega,Taranis & Seosat,Active,37,Failure
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2020-11-20,02:20:00,Electron/Curie,Return To Sender,Active,7.5,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2020-11-21,17:17:00,Falcon 9 Block 5,Sentinel-6A Michael Freilich,Active,67,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China",2020-11-23,20:30:00,Long March 5,Chang'e 5,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-11-25,02:13:00,Falcon 9 Block 5,Starlink V1 L15,Active,67,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",2020-11-29,07:25:00,H-IIA 202,JDRS-1,Active,90,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020-12-02,01:33:00,Soyuz ST-A/Fregat-M,Falcon Eye 2,Active,30,Success
VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",2020-12-03,01:14:00,Soyuz 2.1b/Fregat-M,Goniets-M nВ°30L to 32L & Cosmos 2548,Active,25,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2020-12-06,03:58:00,Long March 3B/E,Gaofen 14,Active,29.15,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-12-06,16:17:00,Falcon 9 Block 5,CRS SpX-21,Active,67,Success
CASC,"Xichang Satellite Launch Center, China",2020-12-09,20:14:00,Long March 11,GECAM 1 & 2,Active,5.3,Success
SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2020-12-09,22:45:00,Starship Prototype,12.5-Kilometer Test Flight,Active,0,Partial Failure
ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA",2020-12-11,01:09:00,Delta IV Heavy,NROL-44,Active,350,Success
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA",2020-12-12,16:19:00,SpaceShipTwo,VF-02,Active,0,Partial Failure
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2020-12-13,17:30:00,Falcon 9 Block 5,SXM-7,Active,67,Success
VKS RF,"Site 35/1, Plesetsk Cosmodrome, Russia",2020-12-14,05:50:00,Angara A5/Briz-M,MGM nВ°2,Active,100,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2020-12-15,10:09:00,Electron/Curie,The OwlвЂ™s Night Begins,Active,7.5,Success
Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2020-12-15,20:55:00,Rocket 3,Rocket 3.2,Active,2.5,Failure
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2020-12-17,10:09:00,PSLV-XL,CMS-01,Active,31,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2020-12-18,12:26:00,Soyuz 2.1b/Fregat,OneWeb #4,Active,25,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2020-12-19,14:00:00,Falcon 9 Block 5,NROL-108,Active,67,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China",2020-12-22,04:37:00,Long March 8,"XJY-7, Haisi-1 & Others",Active,27,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2020-12-27,15:44:00,Long March 4C,Yaogan-33(R) & Weina 2,Active,64.68,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2020-12-29,16:42:00,Soyuz ST-A/Fregat-M,CSO-2,Active,30,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-01-08,02:15:00,Falcon 9 Block 5,TГјrksat 5A,Active,67,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA",2021-01-14,17:17:00,New Shepard,NS-14,Active,0,Success
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2021-01-17,19:38:00,LauncherOne,ELaNa XX,Active,12,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2021-01-19,16:25:00,Long March 3B/E,Tiantong-1 03,Active,29.15,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2021-01-20,07:26:00,Electron/Curie,Another One Leaves The Crust,Active,7.5,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-01-20,13:02:00,Falcon 9 Block 5,Starlink V1 L16,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-01-24,15:00:00,Falcon 9 Block 5,Transporter 1,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-01-29,04:47:00,Long March 4C,Yaogan-31 02,Active,64.68,Success
i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2021-02-01,08:15:00,Hyperbola-1,6 Unknown Payloads,Active,0,Failure
ISA,"Launch Platform, Shahrud Missile Test Site, Iran",2021-02-01,,Zoljanah,Demo Flight,Active,0,Success
SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021-02-02,20:25:00,Starship Prototype,10-Kilometer Test Flight,Active,0,Partial Failure
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021-02-02,20:45:00,Soyuz 2.1b,Cosmos 2549,Active,20,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-02-04,06:19:00,Falcon 9 Block 5,Starlink V1 L18,Active,67,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-02-04,15:36:00,Long March 3B/E,-TJSВ 6.00,Active,29.15,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-02-15,04:45:00,Soyuz 2.1a,Progress MS-16,Active,17.42,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-02-16,03:59:00,Falcon 9 Block 5,Starlink V1 L19,Active,67,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021-02-20,17:36:00,Antares 230+,CRS NG-15,Active,85,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-02-24,02:22:00,Long March 4C,Yaogan-31 03,Active,64.68,Success
ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",2021-02-28,04:54:00,PSLV-DL,AmazГґnia 1 & Others,Active,0,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-02-28,06:55:00,Soyuz 2.1b/Fregat-M,Arktika-M nВ°1,Active,25,Success
SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021-03-03,23:14:00,Starship Prototype,10-Kilometer Test Flight,Active,0,Partial Failure
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-03-04,08:24:00,Falcon 9 Block 5,Starlink V1 L17,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-03-11,08:13:00,Falcon 9 Block 5,Starlink V1 L20,Active,67,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China",2021-03-11,17:51:00,Long March 7A,Shiyan 9,Active,0,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-03-13,02:19:00,Long March 4C,Yaogan-31 04,Active,64.68,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-03-14,10:01:00,Falcon 9 Block 5,Starlink V1 L21,Active,67,Success
GK LS,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-03-22,06:07:00,Soyuz 2.1a/Fregat-M,CAS500-1 & Others,Active,23,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2021-03-22,22:30:00,Electron/Photon,They Go Up So Fast,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-03-24,08:28:00,Falcon 9 Block 5,Starlink V1 L22,Active,67,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021-03-25,02:47:00,Soyuz 2.1b/Fregat,OneWeb #5,Active,25,Success
SpaceX,"Suborbital Pad B, Starbase, Texas, USA",2021-03-30,13:00:00,Starship Prototype,10-Kilometer Test Flight,Active,0,Failure
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-03-30,22:45:00,Long March 4C,Gaofen-12 02,Active,64.68,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-04-07,16:34:00,Falcon 9 Block 5,Starlink V1 L23,Active,67,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021-04-08,23:01:00,Long March 4B,Shiyan-6 03,Active,64.68,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-04-09,07:42:00,Soyuz 2.1a,Soyuz MS-18,Active,17.42,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA",2021-04-14,16:49:00,New Shepard,NS-15,Active,0,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-04-23,09:49:00,Falcon 9 Block 5,SpaceX Crew-2,Active,67,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021-04-25,22:14:00,Soyuz 2.1b/Fregat,OneWeb #6,Active,25,Success
ULA,"SLC-6, Vandenberg SFB, California, USA",2021-04-26,20:47:00,Delta IV Heavy,NROL-82,Active,350,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021-04-27,03:20:00,Long March 6,"Qilu-1, 4 & Rideshares",Active,19,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-04-29,01:50:00,Vega,PlГ©iades-NГ©o 3 & SSMS nВ°2,Active,37,Success
CASC,"LC-101, Wenchang Satellite Launch Center, China",2021-04-29,03:23:00,Long March 5B,Tianhe,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-04-29,03:44:00,Falcon 9 Block 5,Starlink V1 L24,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-04-30,07:27:00,Long March 4C,Yaogan 34,Active,64.68,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-05-04,19:01:00,Falcon 9 Block 5,Starlink V1 L25,Active,67,Success
SpaceX,"Suborbital Pad A, Starbase, Texas, USA",2021-05-05,22:25:00,Starship Prototype,10-Kilometer Test Flight,Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-05-06,18:11:00,Long March 2C/E,Yaogan-30 08 & Apocalypse 12,Active,30.8,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-05-09,06:42:00,Falcon 9 Block 5,Starlink V1 L27,Active,67,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2021-05-15,11:11:00,Electron/Curie,Running Out of Toes,Active,7.5,Failure
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-05-15,22:56:00,Falcon 9 Block 5,Starlink V1 L26 & Rideshares,Active,67,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021-05-18,17:37:00,Atlas V 421,SBIRS GEO-5,Active,123,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-05-19,04:03:00,Long March 4B,Haiyang 2D,Active,64.68,Success
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA",2021-05-22,15:26:00,SpaceShipTwo,VF-03,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-05-26,18:59:00,Falcon 9 Block 5,Starlink V1 L28,Active,67,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021-05-28,17:38:00,Soyuz 2.1b/Fregat,OneWeb #7,Active,25,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China",2021-05-29,12:55:00,Long March 7,Tianzhou 2,Active,0,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2021-06-02,16:17:00,Long March 3B/E,Fengyun-4B,Active,29.15,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-06-03,17:29:00,Falcon 9 Block 5,CRS SpX-22,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-06,04:26:00,Falcon 9 Block 5,SXM-8,Active,67,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021-06-11,03:03:00,Long March 2D,"Beijing-3, Haisi-2 & Others",Active,29.75,Success
Northrop,"Stargazer, Vandenberg SFB, California, USA",2021-06-13,08:11:00,Pegasus XL,Odyssey (TacRL-2),Active,40,Success
Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",2021-06-15,13:35:00,Minotaur I,NROL-111,Active,40,Success
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2021-06-17,01:22:00,Long March 2F/G,Shenzhou 12,Active,0,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-17,16:09:00,Falcon 9 Block 5,GPS III-5,Active,67,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-06-18,06:30:00,Long March 2C/E,Yaogan-30 09 & Apocalypse 14,Active,30.8,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021-06-25,19:50:00,Soyuz 2.1b,Cosmos 2550,Active,20,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-06-29,23:27:00,Soyuz 2.1a,Progress MS-17,Active,17.42,Success
Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",2021-06-30,14:47:00,LauncherOne,"Tubular Bells, Part One",Active,12,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-06-30,19:31:00,Falcon 9 Block 5,Transporter 2,Active,67,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021-07-01,12:48:00,Soyuz 2.1b/Fregat,OneWeb #8,Active,25,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021-07-03,02:51:00,Long March 2D,Jilin-1 Wideband-01B & High Resolution 03D,Active,29.75,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-07-04,23:28:00,Long March 4C,Fengyun-3E,Active,64.68,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2021-07-06,15:53:00,Long March 3C/E,Tianlian 1-05,Active,20,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021-07-09,11:59:00,Long March 6,Zhongzi Group 02 (Ningxia-1-02),Active,19,Success
Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA",2021-07-11,15:25:00,SpaceShipTwo,Unity 22,Active,0,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-07-19,00:19:00,Long March 2C/E,Yaogan-30 10,Active,30.8,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA",2021-07-20,13:12:00,New Shepard,NS-16,Active,0,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021-07-21,14:58:00,Proton-M,MLM-U Nauka,Active,65,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-07-29,04:01:00,Long March 2D,Tianhui-1 04,Active,29.75,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2021-07-29,06:00:00,Electron/Curie,ItвЂ™s a Little Chile Up Here,Active,7.5,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-07-30,21:00:00,Ariane 5 ECA,Eutelsat Quantum & Star One D2,Active,200,Success
i-Space,"Site 95, Jiuquan Satellite Launch Center, China",2021-08-03,07:39:00,Hyperbola-1,Jilin-1 Mofang-01A (?),Active,,Failure
CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021-08-04,11:01:00,Long March 6,KL-Beta A & B,Active,19,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2021-08-05,16:30:00,Long March 3B/E,Zhongxing-2E,Active,29.15,Success
Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",2021-08-10,22:01:00,Antares 230+,CRS NG-16,Active,85,Success
ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",2021-08-12,00:13:00,GSLV Mk II,EOS-03,Active,47,Failure
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-08-17,01:47:00,Vega,"PlГ©iades-NГ©o 4, BRO-4 & Others",Active,37,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021-08-18,22:32:00,Long March 4B,Tianhui-2 2A & 2B,Active,64.68,Success
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-08-21,22:13:00,Soyuz 2.1b/Fregat,OneWeb #9,Active,25,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-08-24,11:15:00,Long March 2C/YZ-1S,RSW-01 - 03,Active,30.8,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-08-24,15:41:00,Long March 3B/E,TJSW-7,Active,29.15,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA",2021-08-26,14:31:00,New Shepard,NS-17,Active,0,Success
Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021-08-28,22:35:00,Rocket 3,STP-27AD1,Active,2.5,Failure
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-08-29,07:14:00,Falcon 9 Block 5,CRS SpX-23,Active,67,Success
Firefly,"SLC-2W, Vandenberg SFB, California, USA",2021-09-03,01:59:00,Firefly Alpha,DREAM (Demo Flight),Active,0,Failure
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021-09-07,03:01:00,Long March 4C,Gaofen-5 02,Active,64.68,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2021-09-09,11:50:00,Long March 3B/E,ChinaSat 9B (Zhongxing-9B),Active,29.15,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021-09-09,19:59:00,Soyuz 2.1v/Volga,Cosmos 2551,Active,0,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-09-14,03:55:00,Falcon 9 Block 5,Starlink Group 2-1,Active,67,Success
Starsem,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-09-14,18:07:00,Soyuz 2.1b/Fregat,OneWeb #10,Active,25,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-09-16,00:02:00,Falcon 9 Block 5,Inspiration4,Active,67,Success
CASC,"LC-201, Wenchang Satellite Launch Center, China",2021-09-20,07:10:00,Long March 7,Tianzhou 3,Active,0,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021-09-27,06:19:00,Kuaizhou 1A,Jilin-1 High Resolution 02D,Active,5.8,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-09-27,08:20:00,Long March 3B/E,Shiyan 10,Active,29.15,Success
ULA,"SLC-3E, Vandenberg SFB, California, USA",2021-09-27,18:12:00,Atlas V 401,Landsat 9 & Others,Active,109,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-10-05,08:55:00,Soyuz 2.1a,Soyuz MS-19,Active,17.42,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA",2021-10-13,14:50:00,New Shepard,NS-18,Active,0,Success
Starsem,"Site 1S, Vostochny Cosmodrome, Russia",2021-10-14,09:40:00,Soyuz 2.1b/Fregat,OneWeb #11,Active,25,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021-10-14,10:51:00,Long March 2D,CHASE (Chinese HО± Solar Explorer) & Tianyuan-1,Active,29.75,Success
CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",2021-10-15,16:23:00,Long March 2F/G,Shenzhou 13,Active,0,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021-10-16,09:34:00,Atlas V 401,Lucy,Active,109,Success
KARI,"LC-2, Naro Space Center, South Korea",2021-10-21,08:00:00,KSLV-2,Test Flight,Active,0,Failure
CASC,"LC-2, Xichang Satellite Launch Center, China",2021-10-24,01:27:00,Long March 3B/E,Shijian 21,Active,29.15,Success
Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",2021-10-24,02:10:00,Ariane 5 ECA,SES-17 & Syracuse-4A,Active,200,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",2021-10-26,02:19:00,H-IIA 202,QZS-1R,Active,90,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021-10-27,06:19:00,Kuaizhou 1A,Jilin-1 High Resolution 02F,Active,5.8,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-10-28,00:00:00,Soyuz 2.1a,Progress MS-18,Active,17.42,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-11-03,07:43:00,Long March 2C/YZ-1S,Yaogan-32 02,Active,30.8,Success
CASC,"LC-16, Taiyuan Satellite Launch Center, China",2021-11-05,02:19:00,Long March 6,SDGSAT-1,Active,19,Success
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-11-06,03:00:00,Long March 2D,Yaogan 35 A/B/C,Active,29.75,Success
JAXA,"Mu Pad, Uchinoura Space Center, Japan",2021-11-09,00:55:00,Epsilon PBS,RAISE-2 & Others,Active,39,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-11-11,02:03:00,Falcon 9 Block 5,SpaceX Crew-3,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-11-13,12:19:00,Falcon 9 Block 5,Starlink Group 4-1,Active,67,Success
Arianespace,"ELV-1, Guiana Space Centre, French Guiana, France",2021-11-16,09:27:00,Vega,"CERES 1, 2 & 3",Active,37,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2021-11-18,01:38:00,Electron/Curie,Love At First Insight,Active,7.5,Success
CASC,"LC-9, Taiyuan Satellite Launch Center, China",2021-11-20,01:51:00,Long March 4B,Gaofen-11 03,Active,64.68,Success
Astra,"LP-3B, Pacific Spaceport Complex, Kodiak, Alaska, USA",2021-11-20,06:16:00,Rocket 3,STP-27AD2,Active,2.5,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-11-22,23:45:00,Long March 4C,Gaofen-3 02,Active,64.68,Success
SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-11-24,06:21:00,Falcon 9 Block 5,DART,Active,67,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-11-24,13:06:00,Soyuz 2.1b,Progress M-UM Prichal,Active,20,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021-11-24,23:41:00,Kuaizhou 1A,Shiyan 11,Active,5.8,Success
VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",2021-11-25,01:09:00,Soyuz 2.1b/Fregat,Cosmos 2552,Active,25,Success
CASC,"LC-2, Xichang Satellite Launch Center, China",2021-11-26,16:40:00,Long March 3B/E,ChinaSat 1D,Active,29.15,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-12-02,23:12:00,Falcon 9 Block 5,Starlink Group 4-3 & BlackSky,Active,67,Success
Arianespace,"ELS, Guiana Space Centre, French Guiana, France",2021-12-05,00:19:00,Soyuz ST-B/Fregat-MT,Galileo FOC FM23-FM24,Active,30,Success
Galactic Energy,"Site 95, Jiuquan Satellite Launch Center, China",2021-12-07,04:12:00,Ceres-1,Keep On Moving,Active,4.9,Success
ULA,"SLC-41, Cape Canaveral SFS, Florida, USA",2021-12-07,10:19:00,Atlas V 551,STP-3,Active,153,Success
Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2021-12-08,07:38:00,Soyuz 2.1a,Soyuz MS-20 / Space Adventures,Active,17.42,Success
Rocket Lab,"Rocket Lab LC-1A, MДЃhia Peninsula, New Zealand",2021-12-09,00:02:00,Electron/Curie,A Data With Destiny,Active,7.5,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-12-09,06:00:00,Falcon 9 Block 5,IXPE,Active,67,Success
CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",2021-12-10,00:11:00,Long March 4B,Shijian 6 Group 05,Active,64.68,Success
Blue Origin,"Launch Site One, West Texas, Texas, USA",2021-12-11,15:00:00,New Shepard,NS-19,Active,0,Success
Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",2021-12-13,12:07:00,Proton-M/Briz-M,Ekspress-AMU3 & AMU7,Active,65,Partial Failure
CASC,"LC-3, Xichang Satellite Launch Center, China",2021-12-13,16:09:00,Long March 3B/E,Tianlian-2-02,Active,29.15,Success
ExPace,"Site 95, Jiuquan Satellite Launch Center, China",2021-12-15,02:00:00,Kuaizhou 1A,GeeSAT-1A & 1B,Active,5.8,Failure
SpaceX,"SLC-4E, Vandenberg SFB, California, USA",2021-12-18,12:41:00,Falcon 9 Block 5,Starlink Group 4-4,Active,67,Success
SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA",2021-12-19,03:58:00,Falcon 9 Block 5,TГјrksat 5B,Active,67,Success
SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",2021-12-21,10:07:00,Falcon 9 Block 5,CRS SpX-24,Active,67,Success
MHI,"LA-Y1, Tanegashima Space Center, Japan",2021-12-22,15:32:00,H-IIA 204,Inmarsat I-6 F1,Active,0,Success
